32  0 35 1
65 A 0 35 46
66 B 35 64 46
67 C 64 96 46
68 D 96 126 46
69 E 126 153 46
70 F 153 180 46
71 G 180 213 46
72 H 213 242 46
73 I 242 249 46
74 J 249 271 46
75 K 272 303 46
76 L 303 329 46
77 M 329 363 46
78 N 363 392 46
79 O 393 426 46
80 P 426 455 46
81 Q 455 488 46
82 R 488 518 46
83 S 519 548 46
84 T 550 579 46
85 U 579 607 46
86 V 607 642 46
87 W 642 686 46
88 X 686 717 46
89 Y 718 750 46
90 Z 750 779 46
97 a 779 806 46
98 b 806 833 46
99 c 833 859 46
100 d 859 885 46
101 e 885 911 46
102 f 912 925 46
103 g 925 951 46
104 h 951 975 46
105 i 976 983 46
106 j 984 994 46
107 k 994 1020 46
108 l 1020 1027 46
109 m 1027 1062 46
110 n 1062 1087 46
111 o 1087 1114 46
112 p 1114 1141 46
113 q 1141 1167 46
114 r 1167 1183 46
115 s 1183 1208 46
116 t 1208 1221 46
117 u 1222 1246 46
118 v 1246 1273 46
119 w 1273 1309 46
120 x 1310 1335 46
121 y 1340 1362 46
122 z 1363 1388 46
48 0 1389 1416 46
49 1 1416 1430 46
50 2 1430 1455 46
51 3 1455 1482 46
52 4 1482 1510 46
53 5 1511 1536 46
54 6 1538 1564 46
55 7 1564 1590 46
56 8 1590 1618 46
57 9 1619 1645 46
